"","city","job.title","company.name","job.location","summary.short","job.salary","links","summary.full"
"1","New+York+NY","Data Scientist","NewYork-Presbyterian Hospital","Manhattan, NY","Proficiency in data analytics and engineering, able to clean, transform, and merge data for ML purposes....",0,"/rc/clk?jk=a1a4b1c1a0519753&fccid=4d5d694743c295fc&vjs=3",NA
"2","New+York+NY","Sr. Data Scientist","MetroPlus Health Plan","New York, NY","Hire and mentor a small team of junior data scientists; Additionally, the Senior Data Scientist will be responsible for the hiring & guidance a team of junior...",0,"/rc/clk?jk=4306e6bbb735dd6d&fccid=39db89979407b486&vjs=3",NA
"3","New+York+NY","Data Scientist","AETNA","New York, NY 10016 (Gramercy area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization....",0,"/rc/clk?jk=909323ec1e10a301&fccid=7077d7e88049c02a&vjs=3",NA
"4","New+York+NY","Data Scientist - Statistics","ACS","New York, NY 10120 (Chelsea area)","*_If you are looking for a balanced lifestyle in an intellectually stimulating field with different career options for professionals in the financial sector...",0,"/company/American-CyberSystems/jobs/Data-Scientist-58eed514077167cd?fccid=6f5b7b19048a3186&vjs=3",NA
"5","New+York+NY","Programmer/Data Scientist","New York University","New York, NY","Preprocess data, and produce meaningful data visualizations. Tools for collecting, processing, analyzing, and understanding large social media data sets....",0,"/rc/clk?jk=757615d98429c1fd&fccid=8077183a161ef0fd&vjs=3",NA
"6","New+York+NY","Audience Data Analyst","Dow Jones","New York, NY 10176 (Murray Hill area)","The audience data analysts are part of our new Data Solutions department, which is using data science and predictive modeling to help us engage better with our...",0,"/rc/clk?jk=4afbcadc9ab9fc24&fccid=d2621f51dde471d3&vjs=3",NA
"7","New+York+NY","Data Scientist","Reonomy","New York, NY","2-5+ years of experience in a Data Scientist capacity. History of excellence and responsibility in previous data scientist positions....",0,"/rc/clk?jk=1a019872d8b54ec4&fccid=ca94b6e9b2058331&vjs=3",NA
"8","New+York+NY","Lead Data Scientist","Critical Healthcare Management","New York, NY","7+ year’s experience as a data scientist. We're searching for a Lead Data Scientist with strong predictive modeling and machine learning background....",0,"/company/Critical-Healthcare-Management/jobs/Lead-Data-Scientist-8e3d6e042a82860d?fccid=61780913755d2fd7&vjs=3",NA
"9","New+York+NY","Assoc Dir, Data & Analysis","Digitas","New York, NY 10104 (Midtown area)","Associate Director – Data & Analysis. Fostering creative thinking around how we use data, and we could use data to solve unique business challenges in support...",0,"/rc/clk?jk=31deffb79bb4773f&fccid=274e15dee00b5237&vjs=3",NA
"10","New+York+NY","Senior Manager, Data Science","Pfizer","New York, NY 10017 (Midtown area)","Hands-on data engineering across multiple systems and data types. Passion for data with experience working with large distributed data sets in Hadoop and...",0,"/rc/clk?jk=9af91b4b670229a0&fccid=5e118f74384e090a&vjs=3",NA
